investor,green_focus,investor_type,betweenness,degree,total_deals,n_green_neighbors,n_trad_neighbors,cross_type,bridge_score
Borderless Capital,GREEN_VC,IVC,0.0032641894938068385,53,13,28,21,True,2.082552897048763
BlackRock,ESG_ALIGNED,CVC,0.0032604613901605632,152,18,74,74,True,18.34009531965317
Ragnar Sass,GREEN_VC,GVC,0.0032389688601448343,31,5,20,11,True,0.8162201527564983
Eviny Ventures,GREEN_VC,GVC,0.0032077287983333504,33,12,22,11,True,0.8853331483400046
Development Bank of Japan,GREEN_VC,GVC,0.003204279013307805,180,15,94,85,True,26.17895953872477
Third Sphere,GREEN_VC,OTHER,0.0032026179200773854,157,34,87,68,True,19.446296010709883
Union Square Ventures,TRADITIONAL,IVC,0.0031971798730323488,155,29,90,59,True,17.456602106756627
Prithvi Ventures,GREEN_VC,Impact_VC,0.003193873640417417,199,29,118,75,True,28.885393203935116
2150,GREEN_VC,IVC,0.003186734661690292,134,29,89,40,True,11.759050901637176
CITIC Jingshi Investment,GREEN_VC,GVC,0.0031850091707790493,95,15,61,33,True,6.713999332002236
Innoangel Fund,GREEN_VC,OTHER,0.0031822927402990826,29,13,18,11,True,0.7255627447881908
GV,GREEN_VC,CVC,0.003176428251889823,194,38,107,78,True,27.101285845123968
Tesi,GREEN_VC,GVC,0.0031678936862518754,62,15,41,21,True,2.9271337660967327
Hafslund Invest,GREEN_VC,GVC,0.0031601623880911536,21,5,18,3,True,0.24017234149492767
US National Science Foundation,GREEN_VC,GVC,0.003155243804218292,58,439,41,17,True,2.3853643159890288
Crosscut Ventures,TRADITIONAL,IVC,0.0031519542444437888,130,11,70,56,True,12.755958827264012
Alibaba Group,TRADITIONAL,GVC,0.0031158298555848452,57,14,34,22,True,2.5082430337458
AiiM Partners,GREEN_VC,IVC,0.0031127133372621644,127,14,73,50,True,11.74738013482741
New Climate Ventures,GREEN_VC,GVC,0.003109211327998929,175,28,114,57,True,20.73843955775286
Pjotr van Schothorst,GREEN_VC,IVC,0.0030996389437785805,114,23,71,38,True,8.703786154130254
Investible,GREEN_VC,IVC,0.0030986292705280603,83,23,52,30,True,5.0910478914776025
SS Capital,GREEN_VC,GVC,0.0030649157975812316,34,5,23,11,True,0.8826957497033947
UpHonest Capital,TRADITIONAL,IVC,0.00305830717653714,128,14,57,66,True,11.884581688023326
Suzhou Oriza Holdings Corporation,TRADITIONAL,GVC,0.003049073641285467,88,15,53,35,True,5.927399158658948
Atlantic,GREEN_VC,GVC,0.0030476091133430235,60,24,39,18,True,2.316182926140698
Unovis Asset Management,GREEN_VC,Impact_VC,0.0030435349402642333,132,33,80,50,True,12.572842838231548
In-Q-Tel,ESG_ALIGNED,IVC,0.003029749865248953,175,19,113,59,True,20.72348907830284
Wavemaker Impact,GREEN_VC,Impact_VC,0.0030235813534526994,94,20,56,37,True,6.549077211578546
K1W1,GREEN_VC,GVC,0.0030209664861293793,65,23,45,19,True,2.779289167239029
Soma Capital,GREEN_VC,OTHER,0.003013162025970537,272,36,135,128,True,52.8629145836271
Course Correction Capital,GREEN_VC,OTHER,0.003000680269560966,255,28,140,103,True,44.001975472842005
Kale United,GREEN_VC,IVC,0.0029942716988280477,110,30,77,32,True,7.7072553527833945
TIME Ventures,GREEN_VC,GVC,0.002990064211479073,190,14,109,73,True,24.339122681439655
Sinovation Ventures,GREEN_VC,IVC,0.002981893014598482,38,14,22,16,True,1.1659201687080063
Addor Capital,TRADITIONAL,OTHER,0.002970135854566512,50,14,26,24,True,2.0048417018323956
Vardar,GREEN_VC,GVC,0.002963313414658871,27,4,21,6,True,0.4563502658574662
Unternehmertum Venture Capital Partners,GREEN_VC,IVC,0.0029598716197550825,133,29,85,46,True,11.963801087050044
BNP Paribas,ESG_ALIGNED,Bank_VC,0.0029584841669490995,83,19,52,29,True,4.703989825449068
Decent Capital,GREEN_VC,OTHER,0.0029571272852224125,42,8,26,16,True,1.3573214239170872
ArcTern Ventures,GREEN_VC,IVC,0.002947030757537034,126,23,73,48,True,10.685933526829286
Eni Next,GREEN_VC,GVC,0.0029387162880748275,241,30,150,84,True,37.71842355744041
Sustainable Ventures,GREEN_VC,OTHER,0.0029352675091723415,71,65,51,20,True,3.205312120016197
Horizons Ventures,GREEN_VC,IVC,0.002924338508046859,178,35,113,63,True,21.335973754709883
Peak XV Partners,TRADITIONAL,IVC,0.002910862241084502,95,28,52,41,True,6.479579348654101
Kima Ventures,TRADITIONAL,IVC,0.0029013518042576023,124,31,78,44,True,10.314305664135775
Unruly Capital,TRADITIONAL,OTHER,0.002847734530973733,142,23,86,52,True,13.130903922319883
Cowin Capital,GREEN_VC,GVC,0.0028345759484058796,46,22,31,15,True,1.4513028855838104
Startmate,TRADITIONAL,OTHER,0.002827874622287683,47,26,28,19,True,1.6401672809268562
B Capital Group,TRADITIONAL,IVC,0.0028091770413894677,148,19,70,73,True,14.759416175460263
Shenzhen Lihe Science and Technology Innovation,GREEN_VC,GVC,0.002805070712416983,41,17,26,15,True,1.2117905477641366
FUND4SE,GREEN_VC,GVC,0.0027709811557466452,47,12,35,11,True,1.1970638592825507
Hatcher+,ESG_ALIGNED,IVC,0.0027683672049404694,24,23,13,9,True,0.38757140869166573
