Company ID,Companies,Business Status,Ownership Status,Success Class,Success Probability,IPO Probability,M&A Probability,Total Raised,outcome,n_investors_matched,pct_green,pct_esg,pct_traditional,pct_gvc,pct_ivc,pct_cvc,pct_impact,green_quartile
520086-25,Mindgrove,Product Development,Privately Held (backing),Success,92.0,1.0,91.0,11.75,Active / Private,10,50.0,0.0,50.0,30.0,30.0,0.0,0.0,"Q1
(0-25%)"
527243-86,Ficha,Generating Revenue,Privately Held (backing),Success,69.0,1.0,68.0,3.01,Active / Private,2,100.0,0.0,0.0,100.0,0.0,0.0,0.0,"Q4
(75-100%)"
469028-89,Hydrogen Mem-Tech,Generating Revenue,Privately Held (backing),Success,67.0,1.0,66.0,15.0,Active / Private,6,100.0,0.0,0.0,16.666666666666664,33.33333333333333,50.0,0.0,"Q4
(75-100%)"
509774-05,Ento Industries,Generating Revenue,Privately Held (backing),,,,,0.46,Active / Private,3,66.66666666666666,0.0,33.33333333333333,100.0,0.0,0.0,0.0,"Q2
(25-50%)"
438485-59,DUCKT,Generating Revenue,Acquired/Merged,,,,,0.34,Acquired,8,75.0,0.0,25.0,50.0,0.0,12.5,0.0,"Q3
(50-75%)"
458334-73,Transport Phenomena Technologies,Out of Business,Out of Business,,,,,,Failed,5,80.0,0.0,20.0,60.0,20.0,0.0,0.0,"Q3
(50-75%)"
435761-65,AutoDive,Generating Revenue,Privately Held (backing),No Exit,18.0,1.0,17.0,0.97,Active / Private,4,75.0,0.0,25.0,25.0,25.0,0.0,0.0,"Q3
(50-75%)"
641563-03,Korall,Generating Revenue,Privately Held (backing),,,,,0.02,Active / Private,3,66.66666666666666,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,"Q2
(25-50%)"
481996-72,Code of Nature,Generating Revenue,Privately Held (backing),Success,64.0,11.0,53.0,0.79,Active / Private,11,63.63636363636363,0.0,36.36363636363637,27.27272727272727,18.181818181818183,0.0,9.090909090909092,"Q2
(25-50%)"
458596-72,ZEVX,Bankruptcy: Liquidation,Out of Business,,,,,33.78,Failed,4,50.0,25.0,25.0,0.0,25.0,0.0,25.0,"Q1
(0-25%)"
529196-23,Coffeefrom,Generating Revenue,Privately Held (backing),,,,,0.07,Active / Private,6,83.33333333333334,0.0,16.666666666666664,66.66666666666666,0.0,0.0,0.0,"Q3
(50-75%)"
530168-59,GreenGrahi,Generating Revenue,Privately Held (backing),Success,58.0,1.0,57.0,3.78,Active / Private,14,64.28571428571429,0.0,35.714285714285715,42.857142857142854,14.285714285714285,0.0,0.0,"Q2
(25-50%)"
148208-86,BlueFarm,Generating Revenue,Privately Held (backing),,,,,,Active / Private,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,"Q4
(75-100%)"
509641-57,Climate Standard,Generating Revenue,Privately Held (backing),,,,,0.02,Active / Private,5,100.0,0.0,0.0,60.0,20.0,0.0,20.0,"Q4
(75-100%)"
528209-92,Tadpole Projects,Generating Revenue,Privately Held (backing),,,,,,Active / Private,3,33.33333333333333,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,"Q1
(0-25%)"
563910-85,iotilize.me,Generating Revenue,Privately Held (backing),,,,,0.16,Active / Private,6,50.0,0.0,50.0,16.666666666666664,33.33333333333333,0.0,0.0,"Q1
(0-25%)"
458128-54,TerraCOH,Out of Business,Out of Business,,,,,,Failed,4,75.0,0.0,25.0,50.0,25.0,0.0,0.0,"Q3
(50-75%)"
185090-41,Agroloop,Bankruptcy: Liquidation,Out of Business,,,,,38.36,Failed,6,33.33333333333333,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,"Q1
(0-25%)"
506884-33,Tissen Biofarm,Generating Revenue,Privately Held (backing),No Exit,46.0,1.0,45.0,2.0,Active / Private,9,66.66666666666666,0.0,33.33333333333333,22.22222222222222,11.11111111111111,0.0,22.22222222222222,"Q2
(25-50%)"
549434-80,Kelpinor,Generating Revenue,Privately Held (backing),,,,,0.24,Active / Private,10,100.0,0.0,0.0,100.0,0.0,0.0,0.0,"Q4
(75-100%)"
497790-01,Aents,Generating Revenue,Privately Held (backing),Success,73.0,3.0,70.0,3.49,Active / Private,6,50.0,0.0,50.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,"Q1
(0-25%)"
439060-69,Manna Insect,Generating Revenue,Privately Held (backing),,,,,0.46,Active / Private,8,50.0,0.0,50.0,37.5,12.5,0.0,0.0,"Q1
(0-25%)"
519948-01,i2Cool,Generating Revenue,Privately Held (backing),Success,72.0,16.0,56.0,13.44,Active / Private,12,58.333333333333336,0.0,41.66666666666667,66.66666666666666,25.0,0.0,0.0,"Q2
(25-50%)"
437079-52,Cogastro,Out of Business,Out of Business,,,,,0.91,Failed,8,50.0,0.0,50.0,25.0,37.5,0.0,0.0,"Q1
(0-25%)"
597708-73,BomLife,Generating Revenue,Privately Held (backing),,,,,0.02,Active / Private,12,83.33333333333334,0.0,16.666666666666664,58.333333333333336,0.0,0.0,8.333333333333332,"Q3
(50-75%)"
539526-97,Hyggligt,Generating Revenue,Privately Held (backing),No Exit,21.0,1.0,20.0,0.32,Active / Private,2,100.0,0.0,0.0,50.0,0.0,0.0,0.0,"Q4
(75-100%)"
492700-87,Koolboks,Generating Revenue,Privately Held (backing),Success,88.0,8.0,80.0,19.87,Active / Private,20,85.0,0.0,15.0,45.0,20.0,0.0,15.0,"Q4
(75-100%)"
520656-58,Cellucircle,Generating Revenue,Privately Held (backing),No Exit,24.0,1.0,23.0,0.53,Active / Private,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"Q1
(0-25%)"
538154-11,Carbon Centrum,Generating Revenue,Privately Held (backing),No Exit,33.0,1.0,32.0,0.15,Active / Private,9,66.66666666666666,0.0,33.33333333333333,33.33333333333333,11.11111111111111,0.0,22.22222222222222,"Q2
(25-50%)"
756393-85,Eagle AI,Generating Revenue,Privately Held (backing),,,,,0.17,Active / Private,4,100.0,0.0,0.0,75.0,0.0,0.0,0.0,"Q4
(75-100%)"
472232-98,Sphere (Asset Management),Generating Revenue,Privately Held (backing),No Exit,46.0,1.0,45.0,5.02,Active / Private,10,80.0,10.0,10.0,40.0,40.0,0.0,10.0,"Q3
(50-75%)"
459700-21,Proeon,Generating Revenue,Privately Held (backing),Success,61.0,3.0,58.0,2.31,Active / Private,13,53.84615384615385,0.0,46.15384615384615,15.384615384615385,30.76923076923077,0.0,0.0,"Q2
(25-50%)"
522830-35,INSPRO Technology,Generating Revenue,Privately Held (backing),,,,,2.72,Active / Private,6,33.33333333333333,0.0,66.66666666666666,50.0,0.0,16.666666666666664,0.0,"Q1
(0-25%)"
707163-22,Crabaride,Startup,Privately Held (backing),,,,,,Active / Private,4,75.0,0.0,25.0,75.0,0.0,0.0,0.0,"Q3
(50-75%)"
222447-61,Revy Environmental Solutions,Generating Revenue,Privately Held (backing),No Exit,23.0,3.0,20.0,0.35,Active / Private,15,60.0,0.0,40.0,40.0,6.666666666666667,0.0,0.0,"Q2
(25-50%)"
608134-96,Blue Capsule Technology,Generating Revenue,Privately Held (backing),No Exit,42.0,1.0,41.0,4.28,Active / Private,6,83.33333333333334,0.0,16.666666666666664,83.33333333333334,0.0,0.0,0.0,"Q3
(50-75%)"
501302-35,Oxoia,Generating Revenue,Privately Held (backing),Success,52.0,1.0,51.0,1.07,Active / Private,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"Q1
(0-25%)"
734054-23,B2 Labtech,Generating Revenue,Privately Held (backing),,,,,0.44,Active / Private,2,50.0,0.0,50.0,50.0,0.0,0.0,0.0,"Q1
(0-25%)"
500734-27,TSP Biochem,Out of Business,Out of Business,,,,,,Failed,5,80.0,0.0,20.0,60.0,0.0,0.0,0.0,"Q3
(50-75%)"
510043-78,Hailia,Generating Revenue,Privately Held (backing),Success,51.0,1.0,50.0,5.65,Active / Private,7,42.857142857142854,0.0,57.14285714285714,28.57142857142857,14.285714285714285,0.0,0.0,"Q1
(0-25%)"
466463-44,Kausal,Generating Revenue,Privately Held (backing),No Exit,41.0,1.0,40.0,0.88,Active / Private,8,50.0,0.0,50.0,12.5,25.0,0.0,0.0,"Q1
(0-25%)"
570483-01,Sinbiosys,Generating Revenue,Privately Held (backing),,,,,,Active / Private,3,66.66666666666666,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,"Q2
(25-50%)"
635645-35,CityClimateX,Startup,Acquired/Merged (Operating Subsidiary),,,,,,Acquired,2,100.0,0.0,0.0,50.0,0.0,0.0,0.0,"Q4
(75-100%)"
458383-33,BtrLyf,Generating Revenue,Privately Held (backing),No Exit,7.0,1.0,6.0,0.82,Active / Private,4,25.0,0.0,75.0,0.0,0.0,0.0,0.0,"Q1
(0-25%)"
563829-94,Hytrade,Generating Revenue,Privately Held (backing),No Exit,22.0,1.0,21.0,0.41,Active / Private,5,80.0,0.0,20.0,40.0,20.0,0.0,0.0,"Q3
(50-75%)"
525657-07,VVF AgTech,Generating Revenue,Privately Held (backing),No Exit,21.0,1.0,20.0,5.7,Active / Private,10,90.0,0.0,10.0,100.0,0.0,0.0,0.0,"Q4
(75-100%)"
