,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],model,n,pseudo_r2,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,p,-log2(p)
post_trump_election,0.4351173828041032,0.17188260136985106,2.5314800877828967,0.011358226632156347,0.0982336745501402,0.7720010910580662,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_eu_green_deal,-0.04755171934864801,0.19521902424279175,-0.24358138010928926,0.8075550505264038,-0.43017397596157153,0.33507053726427555,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_covid_pandemic,-0.14806510519549612,0.2059882009095412,-0.7188038176056416,0.4722618051421099,-0.5517945602183977,0.2556643498274055,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_inflation_reduction_act,-0.9518189272827177,0.32491226881300506,-2.9294644082231094,0.003395466961933107,-1.588635272291404,-0.3150025822740311,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_paris_agreement:Pure_Green,-28.66533144155736,,,,,,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_paris_agreement:Pure_Non_Green,-28.491219287394305,,,,,,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_trump_election:Pure_Green,-0.4502644637286008,0.17505405845865477,-2.572145242979024,0.010107048010030492,-0.7933641136551333,-0.10716481380206827,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_trump_election:Pure_Non_Green,-0.32460450297795596,0.19208458182027022,-1.6899039990710032,0.09104632241563229,-0.7010833653311228,0.0518743593752109,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_eu_green_deal:Pure_Green,0.11011730403473681,0.20195860866769616,0.5452468937133769,0.5855837234663255,-0.28571429532176645,0.5059489033912401,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_eu_green_deal:Pure_Non_Green,0.1786637885019679,0.22035238314028516,0.8108094224160188,0.41747512260875885,-0.253218946360562,0.6105465233644978,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_covid_pandemic:Pure_Green,-0.014137459519954447,0.16723364564324833,-0.08453717232304571,0.932629349364779,-0.3419093819840549,0.31363446294414604,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_covid_pandemic:Pure_Non_Green,0.07961182681168806,0.18317164820960935,0.43462963613553135,0.6638312798620927,-0.279398006667987,0.43862166029136307,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_inflation_reduction_act:Pure_Green,0.8244676740711903,0.35069825894673695,2.35093175696777,0.018726467984954327,0.13711171709468406,1.5118236310476965,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_inflation_reduction_act:Pure_Non_Green,0.880243733298939,0.3744095594912345,2.3510183193374017,0.018722112081573643,0.14641448122861267,1.6140729853692655,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
company_age_z,-0.31209099604950663,0.030388754868907415,-10.269950098180098,9.62544367264079e-25,-0.37165186112758136,-0.2525301309714319,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
oil_price_z,0.039838585512833195,0.06423799140672512,0.6201717183308827,0.5351447391158735,-0.08606556408354152,0.16574273510920792,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
interest_rate_z,-0.03160590667742614,0.09179226826762042,-0.34431992229758496,0.7306057034271018,-0.21151544654120102,0.14830363318634876,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
vix_z,0.05841929147932815,0.03542883187824553,1.6489194924656694,0.09916412918434893,-0.011019943016357649,0.12785852597501396,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
Pure_Green,,,-0.6273026979889175,,,,Model 4 — Cox | Model A,32503,,-0.01842238462020586,0.9817462702444024,0.029367615792609467,-0.07598185388553014,0.03913708464511841,0.9268330248249516,1.0399130299881474,0.0,0.5304608352345316,0.9146818562802416
Pure_Non_Green,,,1.5246676653416018,,,,Model 4 — Cox | Model A,32503,,0.05069098449720822,1.051997759433524,0.0332472352168962,-0.014472399113440067,0.11585436810785651,0.9856318226690814,1.1228323400275606,0.0,0.12734201067033438,2.9732196458983564
company_age_z,,,2.449883678229599,,,,Model 4 — Cox | Model A,32503,,0.0372562273408938,1.0379589402280047,0.015207345422953674,0.007450378011444565,0.06706207667034304,1.007478201132369,1.0693618585378128,0.0,0.014290237160575954,6.128826330195603
oil_price_z,,,7.391656442431033,,,,Model 4 — Cox | Model A,32503,,0.10101251801672764,1.106290490239608,0.013665748510290036,0.07422814311477727,0.12779689291867802,1.0770524995804802,1.1363221841751463,0.0,1.4501081342756476e-13,42.64890474780139
interest_rate_z,,,12.054253092473779,,,,Model 4 — Cox | Model A,32503,,0.19700811248045336,1.2177539196707072,0.01634345247018729,0.1649755342558441,0.2290406907050626,1.1793642643340623,1.257393202184837,0.0,1.8419464298083465e-33,108.74239602781988
vix_z,,,9.808178448133614,,,,Model 4 — Cox | Model A,32503,,0.1341503442573894,1.1435647351119484,0.013677396365368607,0.10734313997898788,0.1609575485357909,1.1133162122447644,1.1746351027754116,0.0,1.0382578255398867e-22,73.02825334186083
Pure_Green,,,-0.4061191670540898,,,,Model 4 — Cox | Model B,32503,,-0.011914699655494984,0.9881559993142139,0.029337939752811768,-0.06941600495161199,0.045586605640622016,0.9329384923074336,1.0466416457591075,0.0,0.6846550431709935,0.5465508117163301
Pure_Non_Green,,,1.6389957412093594,,,,Model 4 — Cox | Model B,32503,,0.0544889115718943,1.0560007669602212,0.033245303939404246,-0.010670686804425608,0.1196485099482142,0.9893860430126749,1.12710061729291,0.0,0.10121414664674576,3.3045171460533544
company_age_z,,,0.209124162341444,,,,Model 4 — Cox | Model B,32503,,0.00316732119427062,1.003172342455961,0.015145649162717167,-0.026517605687134252,0.032852248075675494,0.9738308987224852,1.0333978414412206,0.0,0.8343513128799724,0.2612731205339563
oil_price_z,,,9.236956321656209,,,,Model 4 — Cox | Model B,32503,,0.13194715298385098,1.1410480166908787,0.014284700326502415,0.10394965481395871,0.15994465115374326,1.1095445932804424,1.1734459203165202,0.0,2.536085391639913e-20,65.09595857497442
interest_rate_z,,,11.525543367234924,,,,Model 4 — Cox | Model B,32503,,0.18863802974595228,1.2076037567231352,0.016366953273736034,0.15655939079277972,0.22071666869912485,1.1694802166137548,1.2469700748546015,0.0,9.809139584361166e-31,99.68564434653315
vix_z,,,6.199790731591972,,,,Model 4 — Cox | Model B,32503,,0.08663026461428244,1.0904934111695443,0.013973094958325742,0.059243501743405785,0.1140170274851591,1.0610335728115194,1.1207712086368,0.0,5.653828592644828e-10,30.720052803286737
post_paris_agreement,,,17.034850809144743,,,,Model 4 — Cox | Model B,32503,,1.230197047003362,3.4219037457409076,0.07221648494526062,1.0886553374205723,1.3717387565861519,2.970277365230333,3.942199264683026,0.0,4.528951635553353e-65,213.74614903467602
post_trump_election,,,2.7456623723277724,,,,Model 4 — Cox | Model B,32503,,0.08525546234649718,1.0889952284433422,0.03105096358741938,0.02439669202989056,0.1461142326631038,1.0246967263001816,1.1573283852035634,0.0,0.006038887586257009,7.37150146716421
